time,x,y,vx,vy
5940000,56106858907.041954,138319776940.7832,-27649.582674398993,11247.335963271744
5961600,55508583005.62214,138560143375.64117,-27697.958399065545,11128.075687869185
5983200,54909273315.03949,138797929273.09634,-27745.819008455986,11008.606363665514
6004800,54308940981.47926,139033130165.88647,-27793.163590751312,10888.930221765257
6026400,53707597170.612114,139265741635.02866,-27839.99124384954,10769.049497322672
6048000,53105253067.38381,139495759309.90582,-27886.301075384337,10648.966429498974
6069600,52501919875.80456,139723178868.35248,-27932.092202743403,10528.68326141946
6091200,51897608818.737885,139947996036.7393,-27977.363753086713,10408.202240130546
6112800,51292331137.68921,140170206590.05692,-28022.11486336454,10287.52561655671
6134400,50686098092.59396,140389806351.99878,-28066.34468033529,10166.655645457364
6156000,50078920961.60537,140606791195.04306,-28110.052360583144,10045.59458538362
6177600,49470811040.881805,140821157040.53357,-28153.237070535495,9924.344698634977
6199200,48861779644.37383,141032899858.75983,-28195.897986480213,9802.908251215926
6220800,48251838103.61085,141242015669.03613,-28238.03429458268,9681.287512792464
6242400,47640997767.48735,141448500539.77975,-28279.645190902673,9559.48475664853
6264000,47029270002.048874,141652350588.58804,-28320.729881411,9437.502259642357
6285600,46416666190.27754,141853561982.31476,-28361.287582005985,9315.34230216274
6307200,45803197731.8773,142052130937.1454,-28401.317518529726,9193.00716808523
6328800,45188876043.05876,142248053718.6715,-28440.81892678417,9070.499144728237
6350400,44573712556.323746,142441326641.96417,-28479.791052546978,8947.820522809063
6372000,43957718720.24946,142631946071.64642,-28518.233151587207,8824.973596399856
6393600,43340905999.272354,142819908421.96472,-28556.144489680773,8701.960662883483
6415200,42723285873.47164,143005210156.85956,-28593.524342625733,8578.784022909334
6436800,42104869838.352486,143187847790.0351,-28630.371996257356,8455.445980349046
6458400,41485669404.62888,143367817885.02774,-28666.686746463,8331.948842252146
6480000,40865696098.00623,143545117055.27386,-28702.46789919678,8208.29491880164
6501600,40244961458.96356,143719741964.17648,-28737.714770494043,8084.4865232695065
6523200,39623477042.53547,143891689325.17108,-28772.42668648564,7960.525971972141
6544800,39001254418.09377,144060955901.79034,-28806.602983411987,7836.415584225711
6566400,38378305169.128815,144227538507.72806,-28840.243007636942,7712.1576823014575
6588000,37754640893.030525,144391434006.9019,-28873.346115661458,7587.754591380913
6609600,37130273200.86916,144552639313.51532,-28905.911674137053,7463.208639511065
6631200,36505213717.17577,144711151392.1186,-28937.939059879056,7338.522157559446
6652800,35879474079.722374,144866967257.66864,-28969.42765987967,7213.697479169163
6674400,35253065939.30184,145020083975.58807,-29000.37687132082,7088.736940713852
6696000,34626000959.50757,145170498661.82312,-29030.786101586782,6963.6428812525855
6717600,33998290816.512794,145318208482.9008,-29060.654768276647,6838.417642484699
6739200,33369947198.849716,145463210655.9848,-29089.982299216535,6713.0635687045715
6760800,32740981807.188328,145605502448.93073,-29118.768132471636,6587.583006756335
6782400,32111406354.114994,145745081180.3401,-29147.011716358025,6461.97830598853
6804000,31481232563.91078,145881944219.6134,-29174.712509454283,6336.2518182087015
6825600,30850472172.329544,146016088987.00238,-29201.869980612904,6210.405897637932
6847200,30219136926.37576,146147512953.66107,-29228.483608971506,6084.442900865326
6868800,29587238584.08214,146276213641.696,-29254.552883963814,5958.365186802433
6890400,28954788914.287003,146402188624.2154,-29280.077305330462,5832.175116637617
6912000,28321799696.411404,146525435525.37726,-29305.056383129562,5705.875053790375
6933600,27688282720.236065,146645952020.43677,-29329.48963774709,5579.467363865599
6955200,27054249785.678074,146763735835.7923,-29353.376599907035,5452.954414607786
6976800,26419712702.567356,146878784749.03076,-29376.716810681366,5326.338575855203
6998400,25784683290.422962,146991096588.97183,-29399.509821499774,5199.6222194939955
7020000,25149173378.229122,147100669235.71115,-29421.755194159214,5072.807719412249
7041600,24513194804.211124,147207500620.66257,-29443.452500833224,4945.897451454007
7063200,23876759415.610973,147311588726.59943,-29464.601324081053,4818.893793373235
7084800,23239879068.46287,147412931587.69485,-29485.20125685657,4691.799124787746
7106400,22602565627.368507,147511527289.56094,-29505.25190251695,4564.615827133077
7128000,21964830965.272156,147607373969.28705,-29524.752874831174,4437.346283616321
7149600,21326686963.235607,147700469815.4771,-29543.7037979883,4309.992879169919
7171200,20688145510.21293,147790813068.28586,-29562.104306605528,4182.558000405412
7192800,20049218502.82503,147878402019.4541,-29579.95404573606,4055.0440355671435
7214400,19409917845.134094,147963235012.343,-29597.25267087674,3927.453374485934
7236000,18770255448.417824,148045310441.9673,-29613.99984797548,3799.788408532709
7257600,18130243230.943554,148124626755.02765,-29630.195253438484,3672.051530572091
7279200,17489893117.742188,148201182449.94183,-29645.838574137262,3544.245134915956
7300800,16849217040.382015,148274976076.87503,-29660.929507415418,3416.371617276954
7322400,16208226936.74236,148346006237.769,-29675.467761095228,3288.433374721995
7344000,15566934750.787104,148414271586.3705,-29689.45305348402,3160.4328056256995
7365600,14925352432.338089,148479770828.2584,-29702.885113380325,3032.3723096238205
7387200,14283491936.848366,148542502720.86984,-29715.76368007982,2904.25428756663
7408800,13641365225.175335,148602466073.52563,-29728.088503381063,2776.081141472277
7430400,12998984263.35377,148659659747.4544,-29739.859343591004,2647.8552744801163
7452000,12356361022.368715,148714082655.81577,-29751.075971530296,2519.579090804007
7473600,11713507477.928286,148765733763.72256,-29761.738168538373,2391.254995685587
7495200,11070435610.236353,148814612088.2621,-29771.845726478343,2262.8853953475154
7516800,10427157403.765133,148860716698.51614,-29781.398447741627,2134.472696946698
7538400,9783684847.027681,148904046715.58032,-29790.396145252427,2006.019308527479
7560000,9140029932.350286,148944601312.58218,-29798.838642471947,1877.527638974818
7581600,8496204655.644794,148982379714.69827,-29806.725773402417,1749.0000979674383
7603200,7852221016.180831,149017381199.17038,-29814.05738259089,1620.4390959309576
7624800,7208091016.357962,149049605095.3206,-29820.833325132837,1491.8470439909981
7646400,6563826661.477771,149079050784.5654,-29827.053466675516,1363.2263539262763
7668000,5919439959.515874,149105717700.42883,-29832.717683421135,1234.5794381216756
7689600,5274942920.89387,149129605328.5545,-29837.825862129797,1105.9087095213017
7711200,4630347558.25123,149150713206.71667,-29842.37790012222,977.2165815815222
7732800,3985665886.2171335,149169040924.83032,-29846.373705282258,848.5054682239909
7754400,3340909921.182255,149184588124.96014,-29849.813196059196,719.7777837886586
